Iteration,Xk,FXk 
190,"[0.02937, -0.077753, -0.14446, 0.41172, 0.18764, 0.19127, -0.15846, 0.18278, -0.13377, -0.15129, 0.2348, 0.46113, 0.3578, 0.001299, -0.022423, -0.043587, 0.26446, 0.16734, 0.06186, -0.25727, -0.014761, -0.0057852, -0.28553, -0.64661, 0.32409, 0.25976, -0.092884, -0.00089342, -0.16342]",22.226
191,"[0.029465, -0.077601, -0.14567, 0.41234, 0.18875, 0.19122, -0.15864, 0.183, -0.13437, -0.15149, 0.23468, 0.46208, 0.35862, 0.0012424, -0.02281, -0.044751, 0.26414, 0.1671, 0.06144, -0.259, -0.015178, -0.0066726, -0.28686, -0.64821, 0.32388, 0.26021, -0.093861, -0.0012686, -0.16355]",22.198
192,"[0.029832, -0.077221, -0.14564, 0.41272, 0.18922, 0.19152, -0.15836, 0.18331, -0.13416, -0.15116, 0.23499, 0.46256, 0.35905, 0.0015517, -0.022518, -0.044587, 0.26441, 0.16739, 0.061695, -0.25894, -0.014889, -0.0065055, -0.28679, -0.64812, 0.32423, 0.26057, -0.093679, -0.0010322, -0.16328]",22.169
193,"[0.029922, -0.077078, -0.14681, 0.41331, 0.19028, 0.19146, -0.15854, 0.18351, -0.13475, -0.15135, 0.23486, 0.46348, 0.35984, 0.0014876, -0.022894, -0.045708, 0.26411, 0.16715, 0.061281, -0.26062, -0.015279, -0.0073735, -0.28807, -0.64968, 0.32403, 0.261, -0.094626, -0.0013934, -0.16341]",22.142
194,"[0.030281, -0.076705, -0.14678, 0.41369, 0.19074, 0.19176, -0.15827, 0.18382, -0.13455, -0.15102, 0.23516, 0.46395, 0.36026, 0.0017887, -0.022608, -0.045548, 0.26438, 0.16743, 0.061532, -0.26057, -0.014998, -0.0072119, -0.28801, -0.6496, 0.32437, 0.26135, -0.094449, -0.0011627, -0.16314]",22.116
195,"[0.030375, -0.076554, -0.14797, 0.41429, 0.19182, 0.1917, -0.15844, 0.18401, -0.13513, -0.1512, 0.23504, 0.46487, 0.36105, 0.0017208, -0.022974, -0.046676, 0.26408, 0.16719, 0.061119, -0.26224, -0.015394, -0.0080888, -0.28929, -0.65114, 0.32416, 0.26178, -0.095403, -0.0015259, -0.16326]",22.09
196,"[0.030731, -0.076184, -0.14794, 0.41466, 0.19228, 0.19199, -0.15817, 0.18432, -0.13493, -0.15088, 0.23534, 0.46534, 0.36147, 0.0020197, -0.02269, -0.046516, 0.26434, 0.16747, 0.061367, -0.26219, -0.015114, -0.0079288, -0.28923, -0.65106, 0.3245, 0.26213, -0.095228, -0.0012955, -0.16299]",22.064
197,"[0.030826, -0.076032, -0.14911, 0.41527, 0.19335, 0.19193, -0.15832, 0.18451, -0.13551, -0.15106, 0.23521, 0.46626, 0.36226, 0.0019484, -0.023049, -0.047627, 0.26403, 0.16722, 0.060954, -0.26385, -0.015515, -0.0088022, -0.29052, -0.6526, 0.32429, 0.26256, -0.096173, -0.001649, -0.16311]",22.038
198,"[0.031179, -0.075663, -0.14908, 0.41564, 0.1938, 0.19222, -0.15805, 0.18481, -0.13531, -0.15074, 0.23551, 0.46672, 0.36268, 0.002244, -0.022767, -0.047467, 0.26429, 0.1675, 0.0612, -0.26379, -0.015238, -0.0086425, -0.29046, -0.65251, 0.32463, 0.26291, -0.095999, -0.00142, -0.16284]",22.012
199,"[0.031269, -0.075521, -0.15022, 0.41621, 0.19483, 0.19215, -0.15821, 0.18499, -0.13588, -0.15091, 0.23538, 0.4676, 0.36344, 0.0021717, -0.023114, -0.048546, 0.264, 0.16727, 0.060807, -0.26539, -0.015629, -0.0094989, -0.29169, -0.65399, 0.32443, 0.26331, -0.096919, -0.0017585, -0.16296]",21.986
200,"[0.031616, -0.075159, -0.15019, 0.41657, 0.19528, 0.19243, -0.15794, 0.18529, -0.13569, -0.1506, 0.23567, 0.46805, 0.36385, 0.00246, -0.022836, -0.048393, 0.26425, 0.16754, 0.061048, -0.26534, -0.015358, -0.0093439, -0.29163, -0.65391, 0.32476, 0.26365, -0.096751, -0.001533, -0.1627]",21.963
201,"[0.031698, -0.07501, -0.15134, 0.41715, 0.19631, 0.19237, -0.15807, 0.18547, -0.13625, -0.15077, 0.23555, 0.46893, 0.36461, 0.0023811, -0.023172, -0.049471, 0.26395, 0.16729, 0.060651, -0.26694, -0.015752, -0.010194, -0.29287, -0.65539, 0.32456, 0.26404, -0.097671, -0.0018603, -0.16281]",21.939
202,"[0.032042, -0.07465, -0.15131, 0.41751, 0.19675, 0.19265, -0.1578, 0.18576, -0.13606, -0.15046, 0.23584, 0.46938, 0.36502, 0.0026675, -0.022895, -0.049316, 0.2642, 0.16756, 0.06089, -0.26689, -0.015484, -0.010043, -0.29281, -0.65531, 0.32488, 0.26438, -0.097502, -0.0016356, -0.16255]",21.913
203,"[0.032121, -0.0745, -0.15244, 0.41809, 0.19777, 0.19258, -0.15793, 0.18594, -0.13662, -0.15062, 0.23572, 0.47026, 0.36577, 0.0025913, -0.023229, -0.050383, 0.2639, 0.16731, 0.0605, -0.26848, -0.015877, -0.010893, -0.29403, -0.65676, 0.32467, 0.26477, -0.098417, -0.0019581, -0.16265]",21.89
204,"[0.032461, -0.074144, -0.15241, 0.41845, 0.19821, 0.19286, -0.15766, 0.18623, -0.13643, -0.15031, 0.23601, 0.47071, 0.36617, 0.0028738, -0.022954, -0.050231, 0.26415, 0.16757, 0.060737, -0.26843, -0.015611, -0.010743, -0.29397, -0.65668, 0.32499, 0.2651, -0.098252, -0.0017345, -0.16239]",21.866
205,"[0.032539, -0.073994, -0.15352, 0.419, 0.1992, 0.19279, -0.15779, 0.18639, -0.13697, -0.15047, 0.23589, 0.47156, 0.36689, 0.0027818, -0.023276, -0.051269, 0.26386, 0.16733, 0.060357, -0.26997, -0.015996, -0.011577, -0.29517, -0.65808, 0.32479, 0.26548, -0.099146, -0.0020479, -0.16249]",21.842
206,"[0.032872, -0.073643, -0.1535, 0.41935, 0.19963, 0.19306, -0.15753, 0.18667, -0.13678, -0.15017, 0.23617, 0.472, 0.36729, 0.0030579, -0.023005, -0.05112, 0.2641, 0.16759, 0.06059, -0.26992, -0.015736, -0.011432, -0.29511, -0.658, 0.3251, 0.26581, -0.098986, -0.0018281, -0.16224]",21.82
207,"[0.032952, -0.073482, -0.15464, 0.41992, 0.20065, 0.19299, -0.15764, 0.18684, -0.13733, -0.15032, 0.23605, 0.47287, 0.36804, 0.0029657, -0.023314, -0.052167, 0.2638, 0.16733, 0.060212, -0.27148, -0.016132, -0.012286, -0.29634, -0.65944, 0.32489, 0.2662, -0.099905, -0.0021434, -0.16234]",21.797
208,"[0.033285, -0.073131, -0.15461, 0.42027, 0.20108, 0.19326, -0.15737, 0.18713, -0.13714, -0.15001, 0.23633, 0.47331, 0.36844, 0.0032437, -0.023041, -0.052013, 0.26404, 0.16759, 0.060447, -0.27143, -0.015868, -0.012138, -0.29628, -0.65936, 0.3252, 0.26653, -0.099742, -0.0019214, -0.16209]",21.774
209,"[0.033367, -0.072971, -0.15575, 0.42085, 0.20211, 0.19319, -0.15748, 0.1873, -0.13768, -0.15016, 0.23622, 0.47419, 0.3692, 0.0031499, -0.023353, -0.05306, 0.26374, 0.16732, 0.060069, -0.273, -0.016261, -0.013, -0.29751, -0.66079, 0.32499, 0.26692, -0.10066, -0.0022179, -0.16217]",21.749
210,"[0.033698, -0.072622, -0.15572, 0.4212, 0.20253, 0.19346, -0.15722, 0.18758, -0.13749, -0.14986, 0.2365, 0.47462, 0.36959, 0.003424, -0.023082, -0.052907, 0.26398, 0.16757, 0.060303, -0.27294, -0.016002, -0.012854, -0.29745, -0.6607, 0.3253, 0.26724, -0.1005, -0.0019979, -0.16192]",21.727
211,"[0.033788, -0.072452, -0.15688, 0.4218, 0.20357, 0.19339, -0.15731, 0.18775, -0.13804, -0.15001, 0.23639, 0.47552, 0.37036, 0.0033311, -0.023385, -0.053966, 0.26367, 0.1673, 0.059922, -0.27453, -0.016401, -0.01373, -0.29869, -0.66215, 0.32508, 0.26764, -0.10143, -0.0022982, -0.162]",21.703
212,"[0.034118, -0.072102, -0.15685, 0.42215, 0.20399, 0.19366, -0.15704, 0.18803, -0.13785, -0.14971, 0.23667, 0.47595, 0.37075, 0.003605, -0.023112, -0.05381, 0.26391, 0.16755, 0.060157, -0.27447, -0.016139, -0.013582, -0.29863, -0.66206, 0.32539, 0.26796, -0.10127, -0.0020758, -0.16175]",21.681
213,"[0.034215, -0.071907, -0.15804, 0.42277, 0.20507, 0.19359, -0.15712, 0.18822, -0.13841, -0.14984, 0.23655, 0.47689, 0.37155, 0.0035045, -0.023417, -0.054896, 0.2636, 0.16727, 0.059774, -0.2761, -0.016538, -0.01449, -0.29991, -0.66354, 0.32516, 0.26837, -0.10222, -0.002374, -0.16181]",21.655
214,"[0.034546, -0.071558, -0.15801, 0.42311, 0.20549, 0.19386, -0.15685, 0.1885, -0.13822, -0.14953, 0.23683, 0.47732, 0.37194, 0.0037777, -0.023142, -0.054738, 0.26384, 0.16753, 0.06001, -0.27604, -0.016277, -0.01434, -0.29985, -0.66345, 0.32547, 0.26869, -0.10205, -0.0021493, -0.16156]",21.634
215,"[0.034642, -0.071363, -0.15921, 0.42374, 0.20659, 0.19379, -0.15693, 0.18868, -0.13878, -0.14966, 0.23672, 0.47827, 0.37276, 0.0036751, -0.023436, -0.05583, 0.26352, 0.16725, 0.059633, -0.27768, -0.016681, -0.015256, -0.30114, -0.66494, 0.32524, 0.2691, -0.10301, -0.0024438, -0.16162]",21.612
216,"[0.034972, -0.071015, -0.15918, 0.42408, 0.20701, 0.19406, -0.15666, 0.18896, -0.13859, -0.14935, 0.237, 0.4787, 0.37315, 0.0039473, -0.02316, -0.055669, 0.26376, 0.1675, 0.059869, -0.27761, -0.016419, -0.015106, -0.30107, -0.66484, 0.32555, 0.26942, -0.10284, -0.0022186, -0.16136]",21.587
217,"[0.035058, -0.070827, -0.16034, 0.42468, 0.20805, 0.19398, -0.15672, 0.18912, -0.13914, -0.14948, 0.23689, 0.4796, 0.37392, 0.0038392, -0.023437, -0.056708, 0.26345, 0.16722, 0.059497, -0.27917, -0.01681, -0.015983, -0.3023, -0.66626, 0.32533, 0.26979, -0.10377, -0.0024951, -0.16141]",21.566
218,"[0.035379, -0.070485, -0.16031, 0.42502, 0.20846, 0.19424, -0.15646, 0.18939, -0.13895, -0.14918, 0.23716, 0.48002, 0.3743, 0.0041028, -0.023168, -0.056554, 0.26369, 0.16747, 0.059727, -0.27911, -0.016557, -0.01584, -0.30224, -0.66617, 0.32563, 0.2701, -0.10361, -0.0022751, -0.16116]",21.545
219,"[0.035462, -0.070303, -0.16146, 0.42562, 0.20949, 0.19416, -0.15651, 0.18955, -0.13949, -0.14931, 0.23704, 0.48091, 0.37507, 0.0039908, -0.023437, -0.057587, 0.26338, 0.16718, 0.059366, -0.28066, -0.016941, -0.01672, -0.30347, -0.66758, 0.32541, 0.27048, -0.10452, -0.0025374, -0.16121]",21.52
220,"[0.03578, -0.069964, -0.16143, 0.42595, 0.2099, 0.19442, -0.15625, 0.18982, -0.13931, -0.14902, 0.23731, 0.48133, 0.37545, 0.0042512, -0.02317, -0.057433, 0.26361, 0.16742, 0.059594, -0.2806, -0.016692, -0.01658, -0.30341, -0.66749, 0.32571, 0.27079, -0.10436, -0.0023193, -0.16096]",21.5
221,"[0.03586, -0.069768, -0.16257, 0.42654, 0.21092, 0.19434, -0.1563, 0.18998, -0.13984, -0.14915, 0.23719, 0.48222, 0.37622, 0.0041355, -0.02344, -0.058454, 0.2633, 0.16714, 0.059237, -0.28213, -0.017077, -0.017454, -0.30462, -0.66888, 0.32549, 0.27116, -0.10528, -0.0025859, -0.161]",21.48
222,"[0.036175, -0.069433, -0.16254, 0.42687, 0.21132, 0.1946, -0.15604, 0.19025, -0.13966, -0.14886, 0.23746, 0.48263, 0.37659, 0.0043925, -0.023176, -0.058302, 0.26353, 0.16738, 0.059462, -0.28207, -0.016828, -0.017316, -0.30456, -0.66879, 0.32579, 0.27146, -0.10512, -0.0023693, -0.16075]",21.457
223,"[0.036248, -0.069247, -0.16365, 0.42745, 0.21231, 0.19451, -0.15608, 0.1904, -0.14019, -0.14898, 0.23736, 0.48349, 0.37733, 0.0042727, -0.023425, -0.059298, 0.26322, 0.16709, 0.059115, -0.28356, -0.017203, -0.01817, -0.30575, -0.67014, 0.32557, 0.27182, -0.10601, -0.0026246, -0.16078]",21.437
224,"[0.036557, -0.068917, -0.16362, 0.42777, 0.2127, 0.19476, -0.15583, 0.19066, -0.14001, -0.14869, 0.23762, 0.4839, 0.3777, 0.0045238, -0.023165, -0.059151, 0.26345, 0.16732, 0.059336, -0.2835, -0.016961, -0.018036, -0.30569, -0.67005, 0.32586, 0.27212, -0.10586, -0.0024118, -0.16054]",21.416
225,"[0.036631, -0.068739, -0.16469, 0.42832, 0.21365, 0.19467, -0.15587, 0.1908, -0.14052, -0.14881, 0.23751, 0.48472, 0.37841, 0.0043919, -0.023407, -0.060114, 0.26315, 0.16703, 0.058996, -0.28493, -0.017329, -0.018876, -0.30683, -0.67135, 0.32565, 0.27245, -0.10673, -0.0026571, -0.16058]",21.396
226,"[0.036934, -0.068413, -0.16467, 0.42864, 0.21404, 0.19492, -0.15562, 0.19106, -0.14035, -0.14853, 0.23777, 0.48512, 0.37877, 0.0046375, -0.023151, -0.059969, 0.26337, 0.16726, 0.059214, -0.28487, -0.017092, -0.018747, -0.30677, -0.67126, 0.32593, 0.27274, -0.10658, -0.0024471, -0.16034]",21.378
227,"[0.037004, -0.06824, -0.16573, 0.42918, 0.21497, 0.19483, -0.15565, 0.19118, -0.14085, -0.14864, 0.23766, 0.48593, 0.37947, 0.004501, -0.023378, -0.060903, 0.26307, 0.16697, 0.058883, -0.28627, -0.017468, -0.019566, -0.3079, -0.67252, 0.32572, 0.27306, -0.10743, -0.0026837, -0.16037]",21.358
228,"[0.037302, -0.06792, -0.16571, 0.4295, 0.21535, 0.19507, -0.1554, 0.19143, -0.14068, -0.14836, 0.23791, 0.48632, 0.37983, 0.004742, -0.023126, -0.060763, 0.26329, 0.16719, 0.059095, -0.28622, -0.017235, -0.019441, -0.30785, -0.67244, 0.32599, 0.27335, -0.10729, -0.0024789, -0.16013]",21.34
229,"[0.03737, -0.06774, -0.16678, 0.43006, 0.21628, 0.19498, -0.15542, 0.19156, -0.14118, -0.14847, 0.2378, 0.48714, 0.38054, 0.0046054, -0.023359, -0.06171, 0.26299, 0.1669, 0.058763, -0.28763, -0.017607, -0.020279, -0.30899, -0.67371, 0.32577, 0.27368, -0.10815, -0.0027116, -0.16015]",21.321
230,"[0.037667, -0.067421, -0.16676, 0.43037, 0.21666, 0.19522, -0.15517, 0.19181, -0.14101, -0.14819, 0.23805, 0.48753, 0.38089, 0.0048457, -0.023106, -0.061568, 0.26321, 0.16712, 0.058977, -0.28757, -0.017375, -0.020153, -0.30893, -0.67362, 0.32604, 0.27397, -0.108, -0.0025036, -0.15992]",21.303
231,"[0.037736, -0.067232, -0.16783, 0.43093, 0.21761, 0.19512, -0.15518, 0.19194, -0.14152, -0.1483, 0.23795, 0.48835, 0.3816, 0.0047102, -0.02332, -0.06251, 0.2629, 0.16683, 0.058643, -0.28898, -0.01775, -0.021004, -0.31006, -0.67489, 0.32582, 0.27429, -0.10886, -0.0027273, -0.15994]",21.284
232,"[0.038031, -0.066915, -0.16781, 0.43124, 0.21799, 0.19536, -0.15493, 0.19219, -0.14135, -0.14802, 0.2382, 0.48874, 0.38195, 0.0049483, -0.023068, -0.062367, 0.26311, 0.16705, 0.058856, -0.28892, -0.017519, -0.020877, -0.31, -0.6748, 0.32609, 0.27457, -0.10872, -0.0025192, -0.15971]",21.265
233,"[0.038098, -0.066713, -0.1689, 0.4318, 0.21894, 0.19526, -0.15493, 0.19232, -0.14185, -0.14812, 0.2381, 0.48958, 0.38268, 0.0048005, -0.02329, -0.063321, 0.2628, 0.16675, 0.058531, -0.29034, -0.017892, -0.021729, -0.31115, -0.67608, 0.32587, 0.2749, -0.10959, -0.0027345, -0.15973]",21.246
234,"[0.038392, -0.066396, -0.16888, 0.43211, 0.21931, 0.1955, -0.15468, 0.19257, -0.14168, -0.14784, 0.23835, 0.48997, 0.38303, 0.005037, -0.023037, -0.063177, 0.26302, 0.16697, 0.058743, -0.29028, -0.017661, -0.021602, -0.31109, -0.67599, 0.32614, 0.27518, -0.10944, -0.0025271, -0.1595]",21.229
235,"[0.038459, -0.066199, -0.16994, 0.43267, 0.22024, 0.1954, -0.15467, 0.19269, -0.14217, -0.14793, 0.23825, 0.49079, 0.38374, 0.004891, -0.023253, -0.06411, 0.26272, 0.16666, 0.058426, -0.29167, -0.018039, -0.022446, -0.31221, -0.67724, 0.32592, 0.27549, -0.1103, -0.0027429, -0.15951]",21.21
236,"[0.038748, -0.065888, -0.16992, 0.43298, 0.22061, 0.19563, -0.15442, 0.19293, -0.142, -0.14766, 0.2385, 0.49117, 0.38408, 0.0051238, -0.023004, -0.063969, 0.26293, 0.16688, 0.058636, -0.29161, -0.017812, -0.022323, -0.31215, -0.67715, 0.32619, 0.27577, -0.11016, -0.0025378, -0.15928]",21.192
237,"[0.038805, -0.065698, -0.17097, 0.43353, 0.22152, 0.19553, -0.1544, 0.19304, -0.1425, -0.14775, 0.2384, 0.49197, 0.38478, 0.0049814, -0.02321, -0.064883, 0.26263, 0.16658, 0.05831, -0.29297, -0.018176, -0.023155, -0.31325, -0.67838, 0.32597, 0.27607, -0.111, -0.0027276, -0.15929]",21.175
238,"[0.039091, -0.06539, -0.17095, 0.43383, 0.22189, 0.19576, -0.15416, 0.19328, -0.14233, -0.14748, 0.23864, 0.49235, 0.38512, 0.0052105, -0.022964, -0.064745, 0.26284, 0.16679, 0.058517, -0.29291, -0.017952, -0.023035, -0.3132, -0.67829, 0.32623, 0.27634, -0.11086, -0.0025241, -0.15906]",21.156
239,"[0.039154, -0.0652, -0.17199, 0.43437, 0.22279, 0.19566, -0.15414, 0.19339, -0.14282, -0.14757, 0.23855, 0.49314, 0.38581, 0.0050522, -0.023157, -0.065644, 0.26254, 0.16649, 0.058207, -0.29426, -0.018313, -0.023864, -0.3143, -0.67951, 0.32601, 0.27664, -0.11169, -0.0027172, -0.15907]",21.14
240,"[0.039435, -0.064893, -0.17197, 0.43467, 0.22315, 0.19589, -0.1539, 0.19363, -0.14266, -0.1473, 0.23879, 0.49351, 0.38615, 0.005277, -0.022911, -0.065507, 0.26275, 0.1667, 0.058413, -0.2942, -0.018092, -0.023745, -0.31425, -0.67942, 0.32627, 0.27691, -0.11155, -0.0025147, -0.15884]",21.123
241,"[0.039481, -0.064713, -0.17297, 0.43519, 0.224, 0.19578, -0.15388, 0.19373, -0.14313, -0.14739, 0.2387, 0.49427, 0.3868, 0.0051245, -0.023094, -0.06637, 0.26246, 0.1664, 0.05812, -0.29548, -0.018446, -0.024538, -0.3153, -0.68058, 0.32603, 0.27718, -0.11235, -0.0026916, -0.15884]",21.107
242,"[0.039757, -0.064414, -0.17295, 0.43549, 0.22436, 0.196, -0.15364, 0.19396, -0.14297, -0.14713, 0.23894, 0.49464, 0.38713, 0.0053437, -0.022854, -0.066237, 0.26266, 0.1666, 0.05832, -0.29543, -0.018231, -0.024425, -0.31525, -0.6805, 0.32628, 0.27745, -0.11222, -0.002493, -0.15862]",21.09
243,"[0.039806, -0.064225, -0.17394, 0.436, 0.2252, 0.19588, -0.15361, 0.19405, -0.14343, -0.14721, 0.23885, 0.49539, 0.38778, 0.0051882, -0.023034, -0.067088, 0.26236, 0.16631, 0.058024, -0.29669, -0.018585, -0.025215, -0.31628, -0.68164, 0.32604, 0.27772, -0.11302, -0.0026759, -0.15861]",21.073
244,"[0.040078, -0.063928, -0.17392, 0.43629, 0.22555, 0.1961, -0.15337, 0.19428, -0.14327, -0.14695, 0.23908, 0.49575, 0.38811, 0.0054029, -0.022796, -0.066957, 0.26256, 0.16651, 0.058221, -0.29664, -0.018373, -0.025105, -0.31623, -0.68156, 0.32629, 0.27798, -0.11289, -0.0024809, -0.15839]",21.059
245,"[0.040126, -0.063755, -0.17488, 0.43679, 0.22636, 0.19598, -0.15335, 0.19437, -0.14373, -0.14703, 0.23898, 0.49647, 0.38874, 0.0052448, -0.022969, -0.067789, 0.26228, 0.16621, 0.057932, -0.29786, -0.018716, -0.025881, -0.31724, -0.68266, 0.32605, 0.27824, -0.11367, -0.002642, -0.15839]",21.041
246,"[0.040394, -0.063462, -0.17486, 0.43708, 0.22671, 0.19619, -0.15312, 0.19459, -0.14358, -0.14677, 0.23921, 0.49683, 0.38906, 0.0054561, -0.022734, -0.06766, 0.26247, 0.16641, 0.058127, -0.29781, -0.018508, -0.025772, -0.31719, -0.68258, 0.32629, 0.2785, -0.11354, -0.0024485, -0.15817]",21.026
247,"[0.040435, -0.063287, -0.1758, 0.43757, 0.2275, 0.19608, -0.15309, 0.19467, -0.14402, -0.14684, 0.23912, 0.49753, 0.38967, 0.0052902, -0.022888, -0.068469, 0.26218, 0.16611, 0.05784, -0.29901, -0.018846, -0.026533, -0.31818, -0.68366, 0.32605, 0.27875, -0.11432, -0.0026085, -0.15817]",21.012
248,"[0.040699, -0.062998, -0.17578, 0.43786, 0.22784, 0.19629, -0.15286, 0.19489, -0.14387, -0.14659, 0.23935, 0.49788, 0.38999, 0.0054987, -0.022656, -0.068342, 0.26237, 0.1663, 0.058031, -0.29896, -0.018641, -0.026428, -0.31813, -0.68358, 0.32629, 0.279, -0.1142, -0.002417, -0.15795]",20.998
249,"[0.040741, -0.062815, -0.17673, 0.43836, 0.22864, 0.19617, -0.15281, 0.19497, -0.14432, -0.14666, 0.23925, 0.4986, 0.39062, 0.0053304, -0.022815, -0.06915, 0.26208, 0.166, 0.057743, -0.30016, -0.018987, -0.027203, -0.31912, -0.68466, 0.32605, 0.27925, -0.11498, -0.0025823, -0.15794]",20.982
250,"[0.041004, -0.062527, -0.17671, 0.43864, 0.22898, 0.19638, -0.15258, 0.19519, -0.14417, -0.14641, 0.23948, 0.49895, 0.39094, 0.0055368, -0.022584, -0.069023, 0.26227, 0.16619, 0.057934, -0.30011, -0.018783, -0.027098, -0.31907, -0.68458, 0.32629, 0.2795, -0.11486, -0.002392, -0.15772]",20.966
251,"[0.041042, -0.062355, -0.17763, 0.43912, 0.22974, 0.19626, -0.15254, 0.19526, -0.1446, -0.14649, 0.23938, 0.49964, 0.39153, 0.0053647, -0.022736, -0.069808, 0.262, 0.1659, 0.05766, -0.30127, -0.019119, -0.027851, -0.32003, -0.68562, 0.32606, 0.27973, -0.11561, -0.0025466, -0.1577]",20.952
252,"[0.0413, -0.062071, -0.17762, 0.4394, 0.23007, 0.19646, -0.15231, 0.19547, -0.14445, -0.14624, 0.2396, 0.49999, 0.39184, 0.0055656, -0.022508, -0.069685, 0.26218, 0.16609, 0.057847, -0.30122, -0.018921, -0.02775, -0.31999, -0.68555, 0.3263, 0.27998, -0.11549, -0.0023576, -0.15749]",20.938
253,"[0.041332, -0.061904, -0.17854, 0.43988, 0.23083, 0.19634, -0.15225, 0.19554, -0.14487, -0.14631, 0.23952, 0.50067, 0.39243, 0.0053987, -0.022657, -0.070461, 0.2619, 0.16579, 0.057575, -0.30237, -0.019258, -0.0285, -0.32095, -0.68658, 0.32607, 0.28021, -0.11623, -0.002504, -0.15748]",20.924
254,"[0.041588, -0.061624, -0.17853, 0.44016, 0.23116, 0.19654, -0.15202, 0.19575, -0.14472, -0.14607, 0.23974, 0.50101, 0.39274, 0.0055972, -0.022431, -0.070339, 0.26208, 0.16597, 0.05776, -0.30232, -0.019062, -0.028401, -0.32091, -0.68651, 0.3263, 0.28045, -0.11611, -0.002317, -0.15727]",20.91
255,"[0.041626, -0.061444, -0.17945, 0.44064, 0.23192, 0.19642, -0.15197, 0.19582, -0.14515, -0.14614, 0.23965, 0.50169, 0.39333, 0.0054197, -0.022579, -0.071114, 0.2618, 0.16567, 0.057491, -0.30347, -0.019393, -0.02915, -0.32187, -0.68753, 0.32606, 0.28067, -0.11686, -0.0024561, -0.15725]",20.898
256,"[0.04188, -0.061164, -0.17944, 0.44092, 0.23225, 0.19662, -0.15174, 0.19603, -0.145, -0.14589, 0.23987, 0.50203, 0.39364, 0.005617, -0.022352, -0.070991, 0.26198, 0.16585, 0.057677, -0.30342, -0.019197, -0.02905, -0.32183, -0.68745, 0.32629, 0.28091, -0.11674, -0.0022693, -0.15704]",20.882
257,"[0.041909, -0.060997, -0.18034, 0.4414, 0.23299, 0.1965, -0.15169, 0.19609, -0.14542, -0.14595, 0.23979, 0.50269, 0.39422, 0.0054439, -0.022487, -0.071748, 0.2617, 0.16554, 0.057416, -0.30453, -0.019531, -0.029786, -0.32277, -0.68845, 0.32606, 0.28114, -0.11748, -0.0024042, -0.15702]",20.867
258,"[0.042158, -0.06072, -0.18033, 0.44167, 0.23331, 0.1967, -0.15147, 0.1963, -0.14528, -0.14571, 0.24001, 0.50303, 0.39452, 0.0056366, -0.022264, -0.071628, 0.26188, 0.16572, 0.057597, -0.30448, -0.019338, -0.029691, -0.32273, -0.68838, 0.32629, 0.28138, -0.11736, -0.0022203, -0.15681]",20.856
259,"[0.04218, -0.060567, -0.18118, 0.44211, 0.234, 0.19657, -0.15142, 0.19635, -0.14569, -0.14577, 0.23993, 0.50365, 0.39507, 0.0054636, -0.022392, -0.072351, 0.26161, 0.16543, 0.057343, -0.30554, -0.019659, -0.0304, -0.32362, -0.68933, 0.32607, 0.28158, -0.11806, -0.0023459, -0.15679]",20.842
260,"[0.042425, -0.060297, -0.18117, 0.44238, 0.23432, 0.19676, -0.1512, 0.19655, -0.14555, -0.14553, 0.24014, 0.50398, 0.39537, 0.0056496, -0.022174, -0.072237, 0.26178, 0.1656, 0.057519, -0.3055, -0.019473, -0.030311, -0.32358, -0.68926, 0.32629, 0.28181, -0.11795, -0.0021673, -0.15659]",20.831
261,"[0.04245, -0.060138, -0.18202, 0.44282, 0.235, 0.19664, -0.15115, 0.19659, -0.14595, -0.14559, 0.24006, 0.50461, 0.39591, 0.0054765, -0.022294, -0.072952, 0.26151, 0.16531, 0.05727, -0.30655, -0.019797, -0.031023, -0.32447, -0.6902, 0.32607, 0.282, -0.11865, -0.0022874, -0.15657]",20.82
262,"[0.042692, -0.05987, -0.18201, 0.44309, 0.23531, 0.19683, -0.15093, 0.19679, -0.14581, -0.14536, 0.24027, 0.50494, 0.39621, 0.0056606, -0.022079, -0.072837, 0.26168, 0.16548, 0.057444, -0.30651, -0.019613, -0.030934, -0.32443, -0.69013, 0.32629, 0.28223, -0.11854, -0.0021084, -0.15637]",20.806
263,"[0.042717, -0.059712, -0.18283, 0.44352, 0.23596, 0.19671, -0.15087, 0.19683, -0.1462, -0.14542, 0.24019, 0.50555, 0.39673, 0.0054722, -0.022202, -0.073531, 0.26141, 0.16518, 0.057198, -0.30753, -0.019927, -0.031622, -0.3253, -0.69104, 0.32607, 0.28241, -0.11922, -0.0022231, -0.15635]",20.792
264,"[0.042955, -0.059447, -0.18282, 0.44378, 0.23627, 0.1969, -0.15065, 0.19703, -0.14607, -0.14519, 0.2404, 0.50587, 0.39702, 0.0056524, -0.021989, -0.073421, 0.26158, 0.16535, 0.05737, -0.30749, -0.019746, -0.031536, -0.32527, -0.69097, 0.32628, 0.28264, -0.11911, -0.0020471, -0.15615]",20.782
265,"[0.042973, -0.059305, -0.18361, 0.44418, 0.23688, 0.19677, -0.15059, 0.19706, -0.14645, -0.14525, 0.24032, 0.50643, 0.39751, 0.0054686, -0.022099, -0.074085, 0.26132, 0.16507, 0.057136, -0.30846, -0.020043, -0.032203, -0.32609, -0.69184, 0.32607, 0.2828, -0.11976, -0.0021547, -0.15613]",20.769
