Iteration,Xk,FXk
17,"[-0.035525, -0.10047, -0.008699, 0.20861, 0.0015358, 0.13701, -0.039751, 0.058189, -0.016228, -0.1241, 0.10889, 0.15625, 0.12535, -0.045915, 0.044117, 0.16052, 0.20213, 0.062576, 0.093119, 0.015968, -0.031857, 0.056397, -0.090399, -0.27692, 0.22984, 0.060132, 0.03285, 0.03943, -0.097687]",50.61
18,"[-0.034152, -0.099241, -0.007883, 0.21036, 0.003017, 0.13855, -0.039108, 0.059789, -0.015606, -0.12273, 0.11099, 0.15887, 0.12735, -0.044669, 0.045404, 0.16148, 0.204, 0.064449, 0.094391, 0.016836, -0.03011, 0.057667, -0.089618, -0.27665, 0.23207, 0.061991, 0.03376, 0.040756, -0.096794]",49.916
19,"[-0.036628, -0.10295, -0.009764, 0.21271, 0.0030582, 0.1386, -0.045175, 0.061198, -0.021525, -0.1256, 0.11429, 0.16562, 0.13074, -0.046917, 0.042364, 0.1564, 0.20606, 0.066302, 0.092254, 0.011826, -0.030015, 0.05603, -0.093462, -0.28622, 0.23457, 0.064869, 0.028741, 0.039879, -0.1006]",49.252
20,"[-0.035269, -0.10174, -0.0090047, 0.21441, 0.0044793, 0.14008, -0.044542, 0.062742, -0.020909, -0.12431, 0.1163, 0.16812, 0.13267, -0.045699, 0.043602, 0.15731, 0.20784, 0.0681, 0.093486, 0.012632, -0.028353, 0.057241, -0.092739, -0.286, 0.2367, 0.066668, 0.029642, 0.041125, -0.099752]",48.613
21,"[-0.037358, -0.10509, -0.010959, 0.21678, 0.0045233, 0.14009, -0.050223, 0.06414, -0.026423, -0.12716, 0.11943, 0.17443, 0.13598, -0.0477, 0.040718, 0.15237, 0.20964, 0.069859, 0.091525, 0.0076772, -0.028378, 0.055632, -0.096578, -0.29535, 0.23899, 0.069496, 0.025049, 0.040107, -0.10343]",48.004
22,"[-0.036018, -0.10391, -0.01025, 0.21843, 0.005894, 0.14151, -0.049603, 0.065633, -0.025815, -0.12593, 0.12136, 0.17682, 0.13785, -0.046509, 0.041909, 0.15323, 0.21133, 0.071588, 0.092718, 0.0084265, -0.026792, 0.056789, -0.095904, -0.29517, 0.24102, 0.071238, 0.025938, 0.041282, -0.10262]",47.414
23,"[-0.037794, -0.10697, -0.012251, 0.22082, 0.0059629, 0.14148, -0.054965, 0.067024, -0.030983, -0.12876, 0.12434, 0.18278, 0.1411, -0.048294, 0.039147, 0.14839, 0.21292, 0.073273, 0.090895, 0.003506, -0.026898, 0.055201, -0.099731, -0.30432, 0.24312, 0.074035, 0.021691, 0.040158, -0.10618]",46.849
24,"[-0.036472, -0.10581, -0.011582, 0.22243, 0.0072919, 0.14284, -0.054356, 0.068471, -0.030379, -0.12758, 0.1262, 0.18507, 0.14291, -0.047125, 0.040296, 0.1492, 0.21453, 0.074941, 0.092051, 0.0042073, -0.025379, 0.056313, -0.099098, -0.30417, 0.24506, 0.075727, 0.022566, 0.041274, -0.1054]",46.303
25,"[-0.037987, -0.10862, -0.013633, 0.22486, 0.0074211, 0.14279, -0.059476, 0.069864, -0.035272, -0.13037, 0.12906, 0.19077, 0.14613, -0.048713, 0.037612, 0.14441, 0.21596, 0.076586, 0.090312, -0.0007076, -0.025552, 0.054747, -0.10292, -0.31318, 0.24698, 0.078515, 0.018571, 0.040061, -0.10888]",45.772
26,"[-0.036679, -0.10747, -0.012996, 0.22643, 0.0087206, 0.14411, -0.058873, 0.071272, -0.034667, -0.12923, 0.13086, 0.19298, 0.14789, -0.047562, 0.038725, 0.14519, 0.21751, 0.078202, 0.091437, -4.308e-05, -0.024088, 0.055822, -0.10232, -0.31304, 0.24885, 0.080162, 0.019436, 0.041128, -0.10812]",45.255
